,u,v,u_name,v_name,u_coords,v_coords,dist,train_co2,airplane_co2,car_co2,modes
0,2,3,Brisbane,Hong Kong,"(-27.4689682, 153.0234991)","(22.2793278, 114.1628131)",6911.852399770458,0.09676593359678641,1.9698779339345804,1.3408993655554686,[<Mode.AIRPLANE: 0>]
1,3,4,Hong Kong,Adelaide,"(22.2793278, 114.1628131)","(-34.9281805, 138.5999312)",6837.746538939788,0.09572845154515704,1.9487577635978395,1.3265228285543187,[<Mode.AIRPLANE: 0>]
2,3,5,Hong Kong,Auckland,"(22.2793278, 114.1628131)","(-36.852095, 174.7631803)",9122.233811230888,0.12771127335723242,2.5998366362008034,1.7697133593787924,[<Mode.AIRPLANE: 0>]
3,4,6,Adelaide,Melbourne,"(-34.9281805, 138.5999312)","(-37.8142454, 144.9631732)",654.4784683895019,0.009162698557453027,0.18652636349100807,0.12696882286756336,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
4,5,6,Auckland,Melbourne,"(-36.852095, 174.7631803)","(-37.8142454, 144.9631732)",2631.887427881321,0.036846423990338495,0.7500879169461765,0.5105861610089762,[<Mode.AIRPLANE: 0>]
5,6,7,Melbourne,Montpellier,"(-37.8142454, 144.9631732)","(43.6112422, 3.8767337)",16702.47558638094,0.23383465820933313,4.760205542118568,3.2402802637579025,[<Mode.AIRPLANE: 0>]
6,9,12,Dallas,Rotterdam,"(32.7762719, -96.7968559)","(51.9244424, 4.47775)",7918.419058099599,0.11085786681339439,2.256749431558386,1.5361732972713222,[<Mode.AIRPLANE: 0>]
7,10,12,Marseille,Rotterdam,"(43.2961743, 5.3699525)","(51.9244424, 4.47775)",961.6350054905101,0.013462890076867141,0.27406597656479537,0.18655719106515894,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
8,11,12,Cordoba,Rotterdam,"(-31.4166867, -64.1834193)","(51.9244424, 4.47775)",11391.000809170044,0.1594740113283806,3.2464352306134625,2.2098541569789885,[<Mode.AIRPLANE: 0>]
9,9,13,Dallas,Delray Beach,"(32.7762719, -96.7968559)","(26.4614625, -80.0728201)",1761.7615339021759,0.02466466147463046,0.5021020371621201,0.3417817375770221,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
10,10,13,Marseille,Delray Beach,"(43.2961743, 5.3699525)","(26.4614625, -80.0728201)",7694.150362209276,0.10771810507092985,2.192832853229644,1.4926651702685996,[<Mode.AIRPLANE: 0>]
11,11,13,Cordoba,Delray Beach,"(-31.4166867, -64.1834193)","(26.4614625, -80.0728201)",6624.038484437049,0.09273653878211868,1.8878509680645592,1.2850634659807876,[<Mode.AIRPLANE: 0>]
12,9,14,Dallas,Buenos Aires,"(32.7762719, -96.7968559)","(-34.6037181, -58.38153)",8470.530527976272,0.1185874273916678,2.4141012004732376,1.6432829224273968,[<Mode.AIRPLANE: 0>]
13,10,14,Marseille,Buenos Aires,"(43.2961743, 5.3699525)","(-34.6037181, -58.38153)",10780.150769810904,0.15092211077735265,3.0723429693961073,2.0913492493433155,[<Mode.AIRPLANE: 0>]
14,11,14,Cordoba,Buenos Aires,"(-31.4166867, -64.1834193)","(-34.6037181, -58.38153)",646.9962540803634,0.009057947557125088,0.18439393241290358,0.12551727329159051,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
15,16,15,Doha,Rio de Janeiro,"(25.2856329, 51.5264162)","(-22.9110137, -43.2093727)",11518.492301493188,0.16125889222090464,3.282770305925559,2.234587506489679,[<Mode.AIRPLANE: 0>]
16,17,15,Los Cabos,Rio de Janeiro,"(21.166121, -100.936442)","(-22.9110137, -43.2093727)",7936.109826130062,0.11110553756582088,2.2617913004470678,1.5396053062692319,[<Mode.AIRPLANE: 0>]
17,12,16,Rotterdam,Doha,"(51.9244424, 4.47775)","(25.2856329, 51.5264162)",4926.050982826232,0.06896471375956725,1.4039245301054764,0.955653890668289,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>]"
18,13,16,Delray Beach,Doha,"(26.4614625, -80.0728201)","(25.2856329, 51.5264162)",12285.082650254795,0.17199115710356713,3.5012485553226167,2.38330603414943,[<Mode.AIRPLANE: 0>]
